K701;02_1;05_1;05_2;11_1;11_2;11_3;12_1;22_1;24_1
2019-11-01 00:00;0;21;3;0;45;15;4;0;0
2019-11-01 00:15;0;14;2;0;30;8;0;0;0
2019-11-01 00:30;0;12;2;0;14;4;1;0;1
2019-11-01 00:45;0;8;1;1;18;1;0;0;0
2019-11-01 01:00;0;7;2;0;11;1;0;0;0
2019-11-01 01:15;0;11;3;0;12;3;0;0;0
2019-11-01 01:30;0;5;1;0;8;2;1;0;0
2019-11-01 01:45;0;9;1;0;7;1;1;1;0
2019-11-01 02:00;0;3;0;0;5;0;0;3;0
2019-11-01 02:15;0;4;0;0;3;1;0;0;0
2019-11-01 02:30;0;6;1;0;4;1;0;0;0
2019-11-01 02:45;0;4;2;0;3;1;0;0;0
2019-11-01 03:00;0;4;0;0;4;0;0;0;0
2019-11-01 03:15;0;4;1;0;3;0;0;0;0
2019-11-01 03:30;0;6;2;0;5;1;0;0;1
2019-11-01 03:45;0;6;1;0;6;0;0;0;0
2019-11-01 04:00;0;8;1;0;6;0;0;0;0
2019-11-01 04:15;0;10;1;0;3;1;0;0;0
2019-11-01 04:30;0;15;2;0;2;0;1;0;0
2019-11-01 04:45;0;13;4;0;5;2;0;0;0
2019-11-01 05:00;0;24;8;0;8;1;0;0;0
2019-11-01 05:15;1;26;5;0;13;1;0;2;0
2019-11-01 05:30;0;44;14;0;12;1;0;2;0
2019-11-01 05:45;0;57;22;1;13;3;0;2;0
2019-11-01 06:00;0;93;45;3;24;9;1;4;0
2019-11-01 06:15;0;97;66;4;35;9;0;2;2
2019-11-01 06:30;0;117;85;7;55;27;2;10;0
2019-11-01 06:45;3;56;161;3;60;27;0;11;1
2019-11-01 07:00;2;123;97;0;68;39;0;13;0
2019-11-01 07:15;5;154;161;2;72;62;0;17;1
2019-11-01 07:30;1;170;191;0;106;79;0;19;0
2019-11-01 07:45;2;182;215;1;97;87;8;60;8
2019-11-01 08:00;15;182;218;5;97;100;22;86;16
2019-11-01 08:15;4;164;206;5;98;107;7;40;21
2019-11-01 08:30;8;180;206;8;128;126;6;57;5
2019-11-01 08:45;3;155;196;11;112;108;6;61;4
2019-11-01 09:00;7;138;176;7;88;85;5;26;2
2019-11-01 09:15;4;126;164;3;112;86;6;23;9
2019-11-01 09:30;3;132;154;7;112;81;8;23;8
2019-11-01 09:45;2;134;131;4;125;103;1;11;3
2019-11-01 10:00;2;126;124;9;107;75;1;14;1
2019-11-01 10:15;0;117;121;7;102;87;2;9;2
2019-11-01 10:30;3;130;114;7;114;78;0;9;1
2019-11-01 10:45;0;145;140;10;125;77;5;8;6
2019-11-01 11:00;1;124;118;4;118;77;2;7;1
2019-11-01 11:15;2;135;119;6;134;83;4;8;0
2019-11-01 11:30;0;131;135;4;118;81;3;5;1
2019-11-01 11:45;3;131;121;8;133;102;3;16;2
2019-11-01 12:00;2;137;137;6;116;100;4;10;4
2019-11-01 12:15;3;130;136;6;129;110;4;7;4
2019-11-01 12:30;2;137;123;5;120;102;3;9;4
2019-11-01 12:45;6;140;130;11;134;112;2;11;0
2019-11-01 13:00;2;138;131;2;143;118;3;5;1
2019-11-01 13:15;1;136;129;3;134;103;6;7;2
2019-11-01 13:30;5;140;153;3;133;93;6;24;1
2019-11-01 13:45;6;134;119;3;136;111;10;14;6
2019-11-01 14:00;1;148;142;6;139;133;6;7;4
2019-11-01 14:15;5;132;126;0;143;126;17;34;8
2019-11-01 14:30;10;140;178;5;134;123;8;21;14
2019-11-01 14:45;8;165;172;0;148;151;1;16;3
2019-11-01 15:00;5;150;169;2;131;115;4;11;4
