K702;01_1;03_1;04_1;05_1;05_2;11_1;11_2;12_1;22_1;24_1;28_1
2019-11-01 00:00;1;1;0;18;4;39;13;6;0;0;2
2019-11-01 00:15;0;0;0;13;4;28;7;3;0;1;1
2019-11-01 00:30;0;2;0;13;3;14;4;1;0;0;0
2019-11-01 00:45;0;2;2;7;1;15;2;2;0;0;0
2019-11-01 01:00;1;0;0;6;2;11;1;0;1;1;0
2019-11-01 01:15;0;0;0;8;5;13;1;0;0;0;0
2019-11-01 01:30;1;2;0;3;4;8;1;0;0;1;1
2019-11-01 01:45;0;0;0;9;2;9;0;0;1;0;0
2019-11-01 02:00;0;0;0;2;0;5;0;0;1;0;0
2019-11-01 02:15;0;0;0;4;1;4;1;0;0;1;0
2019-11-01 02:30;0;1;0;5;0;5;1;2;0;0;0
2019-11-01 02:45;2;1;0;5;2;3;0;1;0;0;0
2019-11-01 03:00;;;;;;;;;;;
2019-11-01 03:15;0;0;0;3;1;1;0;0;0;0;1
2019-11-01 03:30;0;2;0;4;3;5;3;1;0;0;0
2019-11-01 03:45;0;0;0;6;1;6;2;0;0;0;0
2019-11-01 04:00;0;0;0;8;3;4;2;1;0;0;0
2019-11-01 04:15;0;0;0;9;2;2;2;0;0;0;0
2019-11-01 04:30;1;0;1;13;4;1;0;0;0;0;0
2019-11-01 04:45;0;0;0;11;6;3;2;0;0;0;0
2019-11-01 05:00;3;1;1;22;9;9;1;0;0;0;0
2019-11-01 05:15;0;0;1;22;11;11;2;0;2;0;0
2019-11-01 05:30;0;0;0;39;16;13;0;0;2;0;0
2019-11-01 05:45;0;0;3;54;36;14;1;0;2;0;0
2019-11-01 06:00;1;1;0;76;63;29;5;1;5;1;0
2019-11-01 06:15;2;0;6;85;75;34;10;2;1;1;0
2019-11-01 06:30;0;1;3;109;92;51;15;5;12;0;1
2019-11-01 06:45;2;3;10;103;112;73;17;7;10;0;4
2019-11-01 07:00;1;1;9;110;108;67;35;5;13;0;0
2019-11-01 07:15;2;4;15;142;174;80;41;12;15;1;2
2019-11-01 07:30;6;2;15;161;199;107;63;10;21;1;2
2019-11-01 07:45;9;5;16;163;215;94;69;21;40;4;7
2019-11-01 08:00;13;9;31;175;234;95;71;15;39;6;11
2019-11-01 08:15;10;21;34;127;208;98;80;29;27;18;9
2019-11-01 08:30;9;10;35;163;212;109;100;24;36;4;6
2019-11-01 08:45;13;12;36;140;194;105;84;23;42;8;11
2019-11-01 09:00;14;7;29;120;169;96;74;23;16;4;9
2019-11-01 09:15;6;9;24;123;151;103;58;23;15;10;5
2019-11-01 09:30;7;13;21;128;151;109;69;16;16;3;9
2019-11-01 09:45;6;15;16;125;132;114;82;17;10;2;5
2019-11-01 10:00;12;6;22;117;128;101;50;17;11;3;3
2019-11-01 10:15;7;10;23;102;127;109;82;23;5;4;8
2019-11-01 10:30;17;15;16;108;125;105;59;13;9;3;6
2019-11-01 10:45;10;13;22;128;148;114;74;14;7;2;6
