K709;011;02_1;05_1;05_2;06_1;08_1;08_2;08_3;10_1;11_1;11_2;12_1;22_1;25_1;26_1;65_1;65_2;66_1;71_1;71_2
2019-11-01 00:00;0;0;25;4;0;3;3;2;3;45;18;0;0;1;1;25;5;1;43;18
2019-11-01 00:15;0;0;13;2;0;0;1;0;1;30;8;0;1;1;1;13;2;0;29;7
2019-11-01 00:30;0;0;13;2;0;4;2;2;1;13;4;0;0;5;5;13;5;1;12;4
2019-11-01 00:45;0;0;9;2;0;1;2;1;2;19;2;0;0;1;1;9;2;1;18;2
2019-11-01 01:00;0;0;6;3;1;1;0;0;0;11;1;0;0;4;5;6;3;2;11;1
2019-11-01 01:15;0;0;12;4;0;0;0;0;0;11;4;0;0;0;0;12;3;0;10;4
2019-11-01 01:30;0;0;6;1;0;2;1;1;1;8;1;0;0;1;1;6;2;0;8;1
2019-11-01 01:45;1;1;10;1;1;1;1;1;1;7;2;0;1;0;0;10;2;2;6;2
2019-11-01 02:00;0;0;3;0;0;0;0;0;0;5;1;0;3;0;0;3;0;0;4;1
2019-11-01 02:15;0;0;4;0;0;1;0;0;0;2;1;0;0;1;1;4;1;1;2;1
2019-11-01 02:30;0;0;4;4;0;0;0;0;0;4;1;0;0;1;1;4;3;0;4;1
2019-11-01 02:45;0;0;4;2;0;0;0;0;0;4;1;0;0;0;0;4;2;0;4;1
2019-11-01 03:00;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;4;2;0;4;0
2019-11-01 03:15;0;0;4;1;0;0;0;0;0;3;0;0;0;1;1;4;1;0;3;0
2019-11-01 03:30;0;0;5;2;0;0;0;0;0;5;1;0;0;0;0;5;2;0;5;3
2019-11-01 03:45;0;0;4;2;0;0;0;0;0;6;1;0;0;0;0;4;1;0;6;1
2019-11-01 04:00;0;0;11;2;0;0;0;0;0;5;2;0;0;0;0;11;2;0;5;2
2019-11-01 04:15;0;0;10;1;0;1;1;1;1;5;1;0;0;0;0;10;1;0;3;2
2019-11-01 04:30;0;0;15;2;1;1;1;1;0;1;0;0;0;0;0;15;1;1;2;0
2019-11-01 04:45;0;0;14;4;0;1;1;1;1;4;1;0;0;0;0;14;4;0;4;1
2019-11-01 05:00;0;0;21;11;0;0;0;0;0;8;1;0;0;0;0;20;11;0;8;1
2019-11-01 05:15;0;0;23;7;2;2;2;2;2;14;0;0;1;2;2;23;7;2;12;0
2019-11-01 05:30;0;0;43;14;2;3;4;3;1;12;0;0;2;0;1;44;15;3;12;0
2019-11-01 05:45;0;0;57;22;1;1;0;0;2;14;2;0;2;1;0;58;22;2;14;3
2019-11-01 06:00;0;0;91;41;0;2;4;2;4;25;11;2;2;3;3;91;41;1;27;9
2019-11-01 06:15;1;1;95;71;0;2;2;2;4;40;10;1;3;0;0;95;71;0;40;9
2019-11-01 06:30;1;1;110;85;7;5;5;5;9;55;31;1;10;3;3;111;86;5;58;33
2019-11-01 06:45;0;1;111;100;4;6;6;4;10;63;30;4;11;5;5;110;100;4;58;30
2019-11-01 07:00;1;1;115;104;3;5;6;5;15;63;45;4;11;5;6;114;107;5;60;43
2019-11-01 07:15;2;0;149;165;3;1;27;1;16;65;69;4;17;4;6;152;165;4;63;70
2019-11-01 07:30;0;0;159;180;7;7;6;4;18;105;87;3;20;3;4;155;179;12;103;86
2019-11-01 07:45;4;1;161;186;7;11;9;9;44;94;91;6;53;10;11;164;192;11;91;98
2019-11-01 08:00;4;3;165;214;6;7;9;17;20;102;120;3;56;32;40;165;218;9;103;115
2019-11-01 08:15;2;6;162;199;13;21;20;20;36;92;109;5;36;29;28;165;213;25;95;109
2019-11-01 08:30;1;4;173;204;10;17;13;15;40;120;154;6;53;24;22;180;212;19;122;135
2019-11-01 08:45;4;6;155;197;11;10;13;13;44;110;117;7;50;20;18;159;202;14;111;117
2019-11-01 09:00;3;5;110;168;11;15;13;13;40;94;87;7;22;14;15;113;171;16;92;90
2019-11-01 09:15;12;7;125;171;18;20;20;22;31;101;95;3;16;5;6;133;182;23;105;93
2019-11-01 09:30;2;5;126;138;11;20;24;19;34;102;88;5;20;6;8;128;143;15;106;89
2019-11-01 09:45;4;6;126;139;4;21;21;22;40;110;113;2;15;8;8;131;144;9;108;113
2019-11-01 10:00;7;6;115;127;11;15;16;9;18;105;76;3;14;8;9;119;135;14;109;74
2019-11-01 10:15;10;8;104;113;4;12;9;6;23;97;87;5;11;6;5;110;122;9;95;89
2019-11-01 10:30;5;9;126;132;3;11;12;6;18;108;75;3;8;6;8;125;135;7;110;82
2019-11-01 10:45;5;3;138;133;5;9;9;4;23;121;84;7;9;9;8;140;137;6;122;83
2019-11-01 11:00;5;3;118;127;2;9;6;8;14;108;84;7;7;7;7;117;135;6;110;84
2019-11-01 11:15;8;4;121;115;7;4;3;2;10;124;92;2;5;7;8;124;121;6;126;94
2019-11-01 11:30;8;3;122;137;7;6;7;6;16;103;91;5;8;7;11;118;139;6;104;91
2019-11-01 11:45;5;9;132;122;9;12;10;8;10;127;111;7;13;14;8;138;127;10;127;115
2019-11-01 12:00;6;7;138;133;8;11;17;4;18;102;99;4;11;9;8;139;135;9;104;103
2019-11-01 12:15;9;5;120;129;2;10;11;9;11;120;112;5;9;10;7;124;136;10;117;113
2019-11-01 12:30;4;8;133;121;0;8;9;5;14;105;111;3;12;9;10;139;126;3;109;106
2019-11-01 12:45;4;0;136;125;3;14;12;8;14;125;121;5;11;12;11;139;138;11;125;119
2019-11-01 13:00;5;4;131;144;4;14;12;9;10;134;113;4;7;8;8;135;153;10;134;114
2019-11-01 13:15;2;3;126;138;5;16;14;8;14;118;114;4;6;9;9;129;148;16;121;117
2019-11-01 13:30;2;6;136;147;7;7;5;5;15;124;98;1;24;4;4;138;147;8;127;101
2019-11-01 13:45;5;2;127;125;6;14;9;8;24;126;124;7;15;17;17;130;139;15;127;126
2019-11-01 14:00;3;1;128;138;16;15;16;10;18;136;143;3;7;21;22;133;152;26;133;139
