K703;02_1;02_2;03_1;05_1;05_2;08_1;08_2;09_1;11_1;11_2
2019-11-01 00:00;6;12;1;15;3;0;17;2;37;16
2019-11-01 00:15;8;7;4;12;2;5;18;5;21;14
2019-11-01 00:30;5;6;1;13;2;3;11;3;18;4
2019-11-01 00:45;7;5;0;11;1;4;10;1;16;3
2019-11-01 01:00;5;4;4;7;2;4;16;1;10;1
2019-11-01 01:15;3;7;1;5;5;1;5;1;13;2
2019-11-01 01:30;1;8;2;7;1;2;8;1;9;0
2019-11-01 01:45;1;7;2;10;1;1;2;2;8;0
2019-11-01 02:00;5;6;0;3;0;1;10;1;5;0
2019-11-01 02:15;2;3;2;5;0;2;4;0;3;2
2019-11-01 02:30;3;6;2;6;0;1;6;1;4;1
2019-11-01 02:45;0;7;4;4;2;0;2;1;5;1
2019-11-01 03:00;1;4;1;3;0;0;9;0;4;0
2019-11-01 03:15;1;4;1;4;1;2;6;0;1;0
2019-11-01 03:30;0;6;1;5;2;1;3;1;7;1
2019-11-01 03:45;0;5;3;10;0;0;4;1;6;1
2019-11-01 04:00;0;10;1;6;2;0;5;2;3;3
2019-11-01 04:15;3;2;3;6;3;1;5;1;3;1
2019-11-01 04:30;1;4;1;12;1;2;6;5;1;0
2019-11-01 04:45;3;6;1;12;6;1;4;3;3;1
2019-11-01 05:00;1;7;2;22;8;1;7;0;8;2
2019-11-01 05:15;5;11;0;26;2;0;8;1;10;2
2019-11-01 05:30;2;12;5;36;15;1;6;4;12;1
2019-11-01 05:45;2;22;0;49;30;3;6;2;13;1
2019-11-01 06:00;5;10;6;68;60;5;10;7;28;9
2019-11-01 06:15;5;17;2;86;73;2;12;4;30;14
2019-11-01 06:30;3;37;4;98;90;7;16;12;46;25
2019-11-01 06:45;15;25;11;97;111;6;11;17;58;38
2019-11-01 07:00;11;27;13;106;111;17;26;14;64;40
2019-11-01 07:15;19;34;8;151;172;13;30;15;68;59
2019-11-01 07:30;29;48;9;166;198;36;32;23;101;68
2019-11-01 07:45;36;55;20;149;204;41;45;32;83;69
2019-11-01 08:00;25;44;27;173;234;57;61;42;102;88
2019-11-01 08:15;53;52;44;158;204;54;61;53;108;90
2019-11-01 08:30;54;57;16;182;219;55;55;44;113;105
2019-11-01 08:45;36;58;32;152;185;59;71;49;104;96
2019-11-01 09:00;27;62;26;152;178;39;61;23;88;85
2019-11-01 09:15;33;65;25;137;154;27;60;27;98;78
2019-11-01 09:30;30;70;31;141;139;35;64;29;103;89
2019-11-01 09:45;28;61;27;145;138;23;71;29;104;100
2019-11-01 10:00;16;59;24;114;124;18;81;24;99;68
2019-11-01 10:15;28;60;31;108;122;27;63;28;100;81
2019-11-01 10:30;25;49;34;129;143;19;64;25;107;86
2019-11-01 10:45;30;60;43;129;116;26;63;43;106;94
2019-11-01 11:00;18;67;34;124;120;8;72;38;117;87
2019-11-01 11:15;18;65;39;113;127;21;65;44;115;88
2019-11-01 11:30;31;71;31;124;127;19;77;48;93;105
2019-11-01 11:45;31;75;40;136;127;17;72;44;127;127
2019-11-01 12:00;19;59;36;136;147;27;66;34;112;104
2019-11-01 12:15;24;77;34;122;125;23;82;35;118;104
2019-11-01 12:30;28;70;30;128;140;15;83;26;135;119
2019-11-01 12:45;37;63;38;127;129;30;79;39;113;110
2019-11-01 13:00;24;64;42;135;114;26;68;39;150;146
2019-11-01 13:15;24;73;33;127;131;30;67;35;112;115
2019-11-01 13:30;37;58;44;145;153;27;66;51;122;130
2019-11-01 13:45;27;64;24;139;123;20;63;38;140;125
2019-11-01 14:00;29;67;43;128;132;26;64;42;129;125
2019-11-01 14:15;33;62;38;123;112;26;72;24;143;149
2019-11-01 14:30;39;57;40;129;151;36;63;57;121;120
2019-11-01 14:45;31;60;47;141;161;28;60;52;143;170
2019-11-01 15:00;37;61;45;146;152;27;62;59;126;140
2019-11-01 15:15;33;58;33;138;152;29;61;54;141;157
2019-11-01 15:30;26;54;34;148;175;20;60;57;156;170
2019-11-01 15:45;25;69;35;132;131;27;80;44;155;188
2019-11-01 16:00;32;57;44;143;149;28;61;47;158;179
2019-11-01 16:15;46;66;48;137;144;29;62;31;142;164
2019-11-01 16:30;42;61;37;135;140;31;61;33;160;165
2019-11-01 16:45;40;50;39;128;124;28;65;35;194;207
2019-11-01 17:00;36;60;43;132;132;26;63;35;161;196
2019-11-01 17:15;41;53;41;134;131;35;71;42;175;213
2019-11-01 17:30;39;54;39;145;142;31;51;36;173;199
2019-11-01 17:45;37;61;35;121;119;34;53;37;156;170
2019-11-01 18:00;27;55;47;134;133;32;55;39;170;200
2019-11-01 18:15;46;57;27;124;102;24;50;23;156;163
2019-11-01 18:30;38;71;34;101;75;21;59;18;152;160
2019-11-01 18:45;35;45;27;99;73;30;53;24;139;135
2019-11-01 19:00;32;53;33;100;72;26;45;13;131;121
2019-11-01 19:15;33;54;38;88;58;22;44;15;158;137
2019-11-01 19:30;38;54;24;76;46;21;44;14;137;100
2019-11-01 19:45;28;36;23;85;58;20;36;15;108;73
2019-11-01 20:00;22;43;20;70;41;18;32;12;75;51
2019-11-01 20:15;21;55;23;56;35;16;42;13;69;48
2019-11-01 20:30;17;36;15;51;32;11;39;11;74;52
2019-11-01 20:45;18;30;19;61;39;18;37;13;53;30
2019-11-01 21:00;14;39;14;46;29;10;32;13;55;42
2019-11-01 21:15;20;36;15;46;43;15;35;11;48;26
2019-11-01 21:30;12;36;13;48;25;15;33;13;56;27
2019-11-01 21:45;10;20;8;56;15;10;30;20;59;28
2019-11-01 22:00;14;23;12;49;28;9;26;11;50;30
2019-11-01 22:15;19;30;8;82;47;13;40;10;61;32
2019-11-01 22:30;15;39;16;103;80;20;48;14;54;38
2019-11-01 22:45;16;27;5;67;28;9;33;15;54;26
2019-11-01 23:00;24;35;18;52;33;5;29;12;72;50
2019-11-01 23:15;23;27;7;64;29;13;28;5;50;25
2019-11-01 23:30;10;25;7;47;26;6;30;7;48;19
2019-11-01 23:45;19;27;11;27;12;7;26;6;53;25
2019-11-02 00:00;9;20;12;40;17;4;26;4;39;23
2019-11-02 00:15;12;28;6;24;7;7;24;8;32;20
2019-11-02 00:30;9;20;6;22;7;2;20;4;30;14
2019-11-02 00:45;13;12;5;16;6;3;22;6;18;7
2019-11-02 01:00;10;10;7;10;3;1;12;4;18;6
2019-11-02 01:15;14;16;7;14;3;11;14;2;14;5
2019-11-02 01:30;7;12;6;9;1;5;21;3;16;3
2019-11-02 01:45;12;16;6;12;2;1;11;3;14;7
2019-11-02 02:00;11;13;5;7;0;3;11;3;17;3
2019-11-02 02:15;10;6;6;9;0;1;9;0;8;2
2019-11-02 02:30;2;9;5;8;3;2;8;1;12;5
2019-11-02 02:45;3;9;6;7;1;1;12;1;9;1
2019-11-02 03:00;5;13;3;9;0;2;16;5;7;1
2019-11-02 03:15;6;7;4;8;3;0;7;3;12;5
2019-11-02 03:30;9;8;3;9;3;1;6;1;8;1
2019-11-02 03:45;4;4;2;7;2;1;9;2;4;1
2019-11-02 04:00;3;4;1;3;1;0;4;1;3;2
2019-11-02 04:15;7;7;4;9;6;1;10;1;5;2
2019-11-02 04:30;5;8;4;9;3;0;7;0;5;1
2019-11-02 04:45;6;11;1;12;5;0;5;1;2;0
2019-11-02 05:00;1;3;1;13;5;2;3;1;8;1
2019-11-02 05:15;4;7;1;17;6;2;1;3;5;1
2019-11-02 05:30;3;6;2;9;8;2;8;2;5;3
2019-11-02 05:45;1;16;4;16;3;3;4;0;8;2
2019-11-02 06:00;1;5;2;9;3;1;4;1;9;2
2019-11-02 06:15;1;8;0;19;12;2;6;3;15;2
2019-11-02 06:30;2;16;6;32;19;3;3;3;17;7
2019-11-02 06:45;8;26;5;28;16;2;10;4;18;15
2019-11-02 07:00;11;14;3;39;26;6;9;2;22;10
2019-11-02 07:15;5;9;2;43;21;2;5;3;23;7
2019-11-02 07:30;14;25;5;52;40;1;21;7;32;11
2019-11-02 07:45;13;23;11;52;53;9;18;10;43;19
2019-11-02 08:00;15;25;12;65;53;5;25;6;52;35
2019-11-02 08:15;11;25;15;68;61;6;27;17;56;34
2019-11-02 08:30;11;24;16;99;114;10;33;11;70;28
2019-11-02 08:45;24;30;15;123;112;12;36;20;61;39
2019-11-02 09:00;13;43;15;85;81;8;40;16;74;42
2019-11-02 09:15;17;37;17;124;67;19;40;16;77;48
2019-11-02 09:30;26;40;9;121;126;15;39;27;70;40
2019-11-02 09:45;21;64;28;126;113;17;48;21;73;43
2019-11-02 10:00;13;60;24;116;120;11;62;26;83;68
2019-11-02 10:15;16;54;27;129;117;5;53;16;93;77
2019-11-02 10:30;14;62;26;141;130;8;49;23;95;62
2019-11-02 10:45;26;64;29;128;119;13;60;21;96;82
2019-11-02 11:00;23;75;33;136;121;12;54;28;105;76
2019-11-02 11:15;22;73;41;126;114;19;54;26;100;70
2019-11-02 11:30;30;62;28;122;130;20;63;34;108;101
2019-11-02 11:45;29;64;38;136;129;24;67;29;108;86
2019-11-02 12:00;35;62;32;120;109;27;74;30;114;90
2019-11-02 12:15;35;60;25;150;162;25;71;24;114;102
2019-11-02 12:30;25;61;28;135;127;30;73;34;116;105
2019-11-02 12:45;31;60;35;131;118;33;70;31;104;85
2019-11-02 13:00;48;99;28;111;117;35;77;36;112;111
2019-11-02 13:15;33;63;35;145;151;29;71;29;117;101
2019-11-02 13:30;34;78;41;129;119;28;78;30;117;88
2019-11-02 13:45;33;67;39;154;153;27;68;37;126;106
2019-11-02 14:00;30;65;33;124;124;32;72;40;125;110
2019-11-02 14:15;35;73;37;125;113;29;73;43;107;97
2019-11-02 14:30;38;56;33;152;140;34;58;37;140;119
2019-11-02 14:45;35;69;31;124;124;38;55;52;115;104
2019-11-02 15:00;26;73;32;117;108;35;76;50;105;92
2019-11-02 15:15;31;56;34;146;140;20;56;42;113;101
2019-11-02 15:30;31;62;37;147;138;26;63;47;128;105
2019-11-02 15:45;29;65;47;127;117;24;74;58;111;115
2019-11-02 16:00;30;62;52;116;104;28;60;51;126;126
2019-11-02 16:15;24;77;37;106;118;25;76;46;107;93
2019-11-02 16:30;34;71;32;146;148;26;74;38;118;99
2019-11-02 16:45;27;63;30;120;104;26;73;34;110;105
2019-11-02 17:00;21;66;34;121;104;29;67;42;123;111
2019-11-02 17:15;18;65;40;117;116;23;57;28;93;96
2019-11-02 17:30;31;53;27;117;111;27;58;25;110;108
2019-11-02 17:45;28;53;27;128;103;19;68;20;114;95
2019-11-02 18:00;17;66;29;102;85;22;50;28;104;93
2019-11-02 18:15;28;41;27;79;57;18;65;16;115;101
2019-11-02 18:30;17;57;33;77;57;19;51;17;96;72
2019-11-02 18:45;20;47;21;83;64;17;47;11;99;68
2019-11-02 19:00;26;45;26;67;50;19;41;20;82;48
2019-11-02 19:15;15;52;23;63;40;16;40;14;102;69
2019-11-02 19:30;23;41;23;67;51;16;39;17;69;54
2019-11-02 19:45;20;62;21;70;57;13;37;15;72;49
2019-11-02 20:00;20;42;13;57;34;16;49;12;63;40
2019-11-02 20:15;18;44;12;60;36;16;41;9;69;32
2019-11-02 20:30;16;43;15;54;27;9;43;13;80;46
2019-11-02 20:45;19;35;15;54;37;26;26;14;62;46
2019-11-02 21:00;15;34;11;50;29;9;35;9;69;44
2019-11-02 21:15;12;39;11;60;26;10;43;8;55;27
2019-11-02 21:30;11;38;16;57;31;11;33;12;54;33
2019-11-02 21:45;9;30;10;64;29;10;36;15;59;42
2019-11-02 22:00;12;33;15;65;37;9;34;12;57;30
2019-11-02 22:15;13;39;14;84;68;9;36;11;66;35
2019-11-02 22:30;12;42;10;116;84;7;38;16;75;37
2019-11-02 22:45;10;25;7;58;29;7;33;10;38;20
2019-11-02 23:00;9;29;10;67;42;5;41;8;64;34
2019-11-02 23:15;18;34;17;53;31;13;27;10;60;33
2019-11-02 23:30;15;25;12;49;21;17;28;8;71;46
2019-11-02 23:45;12;33;9;44;29;8;35;7;53;35
2019-11-03 00:00;6;17;4;38;13;8;26;3;53;29
2019-11-03 00:15;10;27;4;35;16;7;29;2;39;19
2019-11-03 00:30;8;12;12;28;9;12;31;5;38;11
2019-11-03 00:45;9;23;9;30;9;5;25;6;27;9
2019-11-03 01:00;8;20;6;16;6;8;26;6;24;5
2019-11-03 01:15;13;24;6;14;5;3;29;3;18;9
2019-11-03 01:30;8;16;6;11;3;4;19;3;7;0
2019-11-03 01:45;10;12;3;15;3;7;13;4;15;4
2019-11-03 02:00;5;8;5;12;2;3;13;5;15;7
2019-11-03 02:15;10;13;10;18;5;1;8;1;14;6
2019-11-03 02:30;5;19;3;14;4;1;13;0;9;5
2019-11-03 02:45;8;9;3;9;0;1;10;2;9;4
2019-11-03 03:00;9;10;2;10;2;2;10;3;9;1
2019-11-03 03:15;2;13;2;10;2;0;12;1;5;0
2019-11-03 03:30;3;6;3;6;2;1;13;1;5;3
2019-11-03 03:45;3;2;6;4;0;1;8;3;6;2
2019-11-03 04:00;4;6;3;7;1;3;5;2;5;1
2019-11-03 04:15;3;3;2;5;0;1;5;0;4;0
2019-11-03 04:30;5;8;4;7;3;2;7;1;9;2
2019-11-03 04:45;2;7;5;9;0;2;5;0;2;0
2019-11-03 05:00;2;2;1;10;1;0;8;1;2;0
2019-11-03 05:15;1;6;5;11;2;0;12;3;2;0
2019-11-03 05:30;0;4;2;12;4;1;6;1;7;2
2019-11-03 05:45;0;3;5;12;5;1;6;1;5;0
2019-11-03 06:00;5;5;2;14;5;0;6;3;8;1
2019-11-03 06:15;5;4;1;8;8;0;6;3;9;1
2019-11-03 06:30;5;8;6;15;5;0;7;5;16;2
2019-11-03 06:45;2;13;3;24;6;1;7;1;13;4
2019-11-03 07:00;2;13;1;32;13;5;6;1;12;3
2019-11-03 07:15;5;9;5;18;9;1;8;3;13;6
2019-11-03 07:30;3;9;5;24;14;3;7;4;18;3
2019-11-03 07:45;7;14;6;25;13;0;10;2;18;2
2019-11-03 08:00;8;14;2;39;22;1;11;3;16;4
2019-11-03 08:15;6;17;5;28;21;6;12;1;23;7
2019-11-03 08:30;10;19;7;37;27;6;13;6;31;8
2019-11-03 08:45;7;17;13;42;34;8;13;11;39;15
2019-11-03 09:00;11;23;5;63;44;9;19;5;39;21
2019-11-03 09:15;12;21;8;78;64;5;18;13;60;27
2019-11-03 09:30;25;39;16;93;72;22;19;12;68;30
2019-11-03 09:45;32;41;17;83;71;17;23;14;74;47
2019-11-03 10:00;28;46;15;87;60;12;28;13;79;49
2019-11-03 10:15;27;34;21;86;75;14;36;17;76;36
2019-11-03 10:30;21;35;16;102;85;15;29;18;79;43
2019-11-03 10:45;30;41;27;93;74;24;44;23;90;57
2019-11-03 11:00;25;50;23;98;88;19;43;15;93;64
2019-11-03 11:15;31;46;20;102;94;25;45;23;96;56
2019-11-03 11:30;29;49;17;119;120;19;54;24;96;69
2019-11-03 11:45;38;45;20;122;116;12;49;26;122;99
2019-11-03 12:00;27;64;31;106;93;19;49;24;98;65
2019-11-03 12:15;29;66;39;120;118;34;51;33;105;93
2019-11-03 12:30;39;48;22;130;130;19;55;17;106;90
2019-11-03 12:45;35;71;23;123;121;32;48;30;105;98
2019-11-03 13:00;38;66;31;134;127;30;62;37;125;106
2019-11-03 13:15;37;68;33;127;107;30;67;32;113;83
2019-11-03 13:30;25;52;32;132;118;25;58;38;117;99
2019-11-03 13:45;33;64;33;165;133;23;61;42;128;106
2019-11-03 14:00;28;54;28;139;122;24;55;52;120;118
2019-11-03 14:15;33;70;28;133;147;19;68;62;113;98
2019-11-03 14:30;17;66;34;145;138;15;65;50;142;104
2019-11-03 14:45;32;63;33;108;85;27;71;41;119;98
2019-11-03 15:00;21;70;35;115;101;19;75;34;123;119
2019-11-03 15:15;25;53;28;123;106;19;68;36;115;106
2019-11-03 15:30;23;61;34;133;125;19;54;40;119;101
2019-11-03 15:45;23;67;26;119;99;19;76;46;101;96
2019-11-03 16:00;15;51;33;117;105;14;68;33;111;103
2019-11-03 16:15;20;57;25;121;101;20;55;43;111;86
2019-11-03 16:30;32;49;36;124;99;15;57;34;115;123
2019-11-03 16:45;21;72;30;122;100;25;64;44;101;80
2019-11-03 17:00;24;59;26;98;78;27;70;50;98;85
